Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;geoLaengeame;Bundesland
3;19500401;20110331;202;50.7827;6.0941;Aachen;Nordrhein-Westfalen
44;20070401;20240423;44;52.9336;8.237;Großenkneten;Niedersachsen
52;19760101;19880101;46;53.6623;10.199;Ahrensburg-Wulfsdorf;Schleswig-Holstein
71;20091201;20191231;759;48.2156;8.9784;Albstadt-Badkap;Baden-Württemberg
73;20070401;20240423;374;48.6183;13.062;Aldersbach-Kramersepp;Bayern
78;20041101;20240423;64;52.4853;7.9125;Alfhausen;Niedersachsen
91;20040901;20240423;304;50.7446;9.345;Alsfeld-Eifa;Hessen
96;20190409;20240423;50;52.9437;12.8518;Neuruppin-Alt Ruppin;Brandenburg
102;20020101;20240423;0;53.8633;8.1275;Leuchtturm Alte Weser;Niedersachsen
106;19990101;20061201;500;51.7976;10.4429;Altenau;Niedersachsen
125;19710104;20240423;742;47.8342;10.8667;Altenstadt;Bayern
131;20041101;20240423;296;51.0881;12.9326;Geringswalde-Altgeringswalde;Sachsen
142;19820101;20240423;511;48.406;11.3117;Altomünster-Maisbrunn;Bayern
150;20050701;20240415;215;49.7273;8.1164;Alzey;Rheinland-Pfalz
151;20050301;20240423;382;49.4691;11.8546;Amberg-Unterammersricht;Bayern
154;20050301;20240423;516;48.0197;12.2925;Amerang-Pfaffing;Bayern
161;20110901;20240423;75;50.4237;7.4202;Andernach;Rheinland-Pfalz
164;19560101;20240423;54;53.0316;13.9908;Angermünde;Brandenburg
167;20040901;20240423;11;53.8409;13.6854;Anklam;Mecklenburg-Vorpommern
175;19550101;19751231;413;49.2964;10.5751;Ansbach;Bayern
181;19990928;20081103;30;52.8761;11.5042;Arendsee;Sachsen-Anhalt
183;19730101;20240423;42;54.6791;13.4344;Arkona;Mecklenburg-Vorpommern
191;20041104;20240423;217;49.9694;9.9114;Arnstein-Müdesheim;Bayern
198;19610101;20240423;164;51.3744;11.292;Artern;Thüringen
217;20050101;20240423;670;47.8774;11.3643;Attenkam;Bayern
222;19820101;20240423;393;50.5908;12.7139;Aue;Sachsen
232;19550101;20240423;462;48.4253;10.9417;Augsburg;Bayern
257;20021101;20240423;240;48.727;8.2457;Baden-Baden-Geroldsau;Baden-Württemberg
259;20040701;20240423;275;47.8064;7.6387;Müllheim;Baden-Württemberg
268;19960718;20081231;622;48.5293;8.2727;Baiersbronn-Obertal;Baden-Württemberg
282;19610101;20240423;240;49.8743;10.9206;Bamberg;Bayern
284;19470101;19550101;282;49.88;10.88;Bamberg (Sternwarte);Bayern
294;20040701;20240423;110;52.3199;9.43;Barsinghausen-Hohenbostel;Niedersachsen
298;19810101;20240423;3;54.3405;12.7108;Barth;Mecklenburg-Vorpommern
303;19930819;20240423;55;52.0613;13.4997;Baruth;Brandenburg
314;20040501;20240423;234;51.1604;14.5042;Kubschütz, Kr. Bautzen;Sachsen
320;20060701;20240423;350;49.9666;11.5198;Heinersreuth-Vollhof;Bayern
326;20040701;20130708;120;51.7204;8.0577;Beckum-Unterberg;Nordrhein-Westfalen
330;20040801;20240423;455;49.5617;8.9673;Oberzent-Beerfelden;Hessen
342;20101201;20240423;103;52.317;8.1694;Belm;Niedersachsen
348;19891215;20110901;127;50.4135;7.5886;Bendorf;Rheinland-Pfalz
350;19990601;19991231;540;51.6715;10.7268;Benneckenstein;Sachsen-Anhalt
361;19480101;19760101;550;47.6344;13.0109;Berchtesgaden (KKst);Bayern
368;20020101;20240423;69;52.8152;9.9248;Bergen;Niedersachsen
377;20041001;20240423;210;49.107;7.9967;Bergzabern, Bad;Rheinland-Pfalz
379;20170901;20240423;304;50.9075;11.2665;Berka, Bad (Flugplatz);Thüringen
390;20040701;20240423;610;50.9837;8.3683;Berleburg, Bad-Stünzel;Nordrhein-Westfalen
399;19691201;20110801;36;52.5198;13.4057;Berlin-Alexanderplatz;Berlin
400;19910101;20240423;60;52.631;13.5021;Berlin-Buch;Berlin
403;20020101;20240423;51;52.4537;13.3017;Berlin-Dahlem (FU);Berlin
410;20040501;20200615;33;52.404;13.7309;Berlin-Kaniswall;Berlin
420;20070801;20230806;61;52.5447;13.5598;Berlin-Marzahn;Berlin
424;19610101;19810101;36;52.5;13.4667;Berlin-Ostkreuz;Berlin
427;19730101;20240423;46;52.3807;13.5306;Berlin Brandenburg;Brandenburg
430;19860101;20210505;36;52.5644;13.3088;Berlin-Tegel;Berlin
433;19510101;20240423;48;52.4676;13.402;Berlin-Tempelhof;Berlin
445;20050701;20240423;85;51.8218;11.711;Bernburg/Saale (Nord);Sachsen-Anhalt
450;20051101;20121204;120;49.9186;7.0664;Bernkastel-Kues;Rheinland-Pfalz
460;19610101;20240423;362;49.2641;6.6868;Berus;Saarland
474;19750601;19780601;599;48.1252;9.7639;Warthausen-Birkenhard;Baden-Württemberg
535;20040601;20240423;417;50.0372;7.3079;Blankenrath;Rheinland-Pfalz
553;19510101;19740901;25;51.838;6.6107;Bocholt (Marienschule);Nordrhein-Westfalen
554;19740901;20060228;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
555;20080101;20240423;110;51.5026;7.2289;Bochum;Nordrhein-Westfalen
591;19730101;20240423;45;53.3911;10.6878;Boizenburg;Mecklenburg-Vorpommern
